web-scraper-order,web-scraper-start-url,piece_link,piece_link-href,details,etat,adresse,prix,image-src
"1750853472-1","https://www.expat-dakar.com/equipements-pieces?page=30","Matelas auto de voyage
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        3. mai, 18:37
                                    
                    35 000 F Cfa
                        
                        776906464","https://www.expat-dakar.com/annonce/matelas-auto-de-voyage-3608980","Détails","Neuf","Plateau
            
                Dakar","35 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/a60e1569b8e072f038f9e17d6783a67e/-/horizon-files-prod/ed/picture/qkkxwvv/67f4646ddb5a973c3c0619d035a46ea661bcacf3.jpg"
"1750853474-2","https://www.expat-dakar.com/equipements-pieces?page=30","ECRAN DELL 19""TOUT NEUF
                                Neuf
                                                                                    Colobane,
                                                                                Dakar
                                    
                                        13. avr., 16:00
                                    
                    75 000 F Cfa
                        
                        772684188
                    
                        773870030
                    
                        775789236","https://www.expat-dakar.com/annonce/ecran-dell-19tout-neuf-3616061","Détails","Neuf","Colobane
            
                Dakar","75 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/66ca918407cabf3def90fb5629b2056d/-/horizon-files-prod/ed/picture/q2vg20g/1581a2946828d4aef3f60ec7c59e4c9c6972df4b.jpg"
"1750853477-3","https://www.expat-dakar.com/equipements-pieces?page=30","Convertisseur Allume Cigare 12V vers prise secteur 220V
                                Neuf
                                                                                    Hann Bel-Air,
                                                                                Dakar
                                    
                                        30. avr., 13:01
                                    
                    15 000 F Cfa
                        
                        775160371
                    
                        784319494","https://www.expat-dakar.com/annonce/convertisseur-allume-cigare-12v-vers-prise-secteur-220v-4057440","Détails","Neuf","Hann Bel-Air
            
                Dakar","15 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/b2006edd28746398c94096c13ee80209/-/horizon-files-prod/ed/picture/qdpdekw/17c249ca8bcc07ce724a19d5b8293ecccf348187.jpg"
"1750853481-4","https://www.expat-dakar.com/equipements-pieces?page=30","BOITE MERCEDES
                                D'occasion
                                                                                    Colobane,
                                                                                Dakar
                                    
                                        30. avr., 00:52
                                    
                    200 000 F Cfa
                        
                        772684188
                    
                        773870030
                    
                        775789236","https://www.expat-dakar.com/annonce/boite-mercedes-4788420","Détails","D'occasion","Colobane
            
                Dakar","200 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/dbac50b4db54bb07067baa7ff8776f96/-/horizon-files-prod/ed/picture/qe6w8w2/185cb2ea0c86cff246595ec1ac975d1370211f8b.jpg"
"1750853484-5","https://www.expat-dakar.com/equipements-pieces?page=30","Bâches auto
                                Neuf
                                                                                    Liberte 6,
                                                                                Dakar
                                    
                                        16. avr., 15:38
                                    
                    25 000 F Cfa
                        
                        770922410","https://www.expat-dakar.com/annonce/baches-auto-4868906","Détails","Neuf","Liberte 6
            
                Dakar","25 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/ac5ac6c1ff058bc8fdc3ca1900e41f9c/-/horizon-files-prod/ed/picture/qwd7rxd/4cb817a20255bd3c9ac38654ea0bbaafaad6642c.jpg"
"1750853487-6","https://www.expat-dakar.com/equipements-pieces?page=30","Lecteur mp3 pour voiture
                                Neuf
                                                                                    Liberte 6,
                                                                                Dakar
                                    
                                        16. avr., 15:36
                                    
                    6 500 F Cfa
                        
                        770922410","https://www.expat-dakar.com/annonce/lecteur-mp3-pour-voiture-4983904","Détails","Neuf","Liberte 6
            
                Dakar","6 500 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/95fe110f081430d9d8b2acbdaaa4f076/-/horizon-files-prod/ed/picture/q945mr8/76c8d33dd6f842281ca4efcc86516bddf10c225b.jpg"
"1750853490-7","https://www.expat-dakar.com/equipements-pieces?page=30","Chargeur sans fil auto
                                Neuf
                                                                                    Grand-Dakar,
                                                                                Dakar
                                    
                                        6. mai, 13:44
                                    
                    7 000 F Cfa
                        
                        782963838
                    
                        762963434
                    
                        771874229","https://www.expat-dakar.com/annonce/chargeur-sans-fil-auto-3772127","Détails","Neuf","Grand-Dakar
            
                Dakar","7 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/630ca8aed819bc74b052ab96fa5dd457/-/horizon-files-prod/ed/picture/qnqd980/8e355d413f858043d798b2c1f09cdebecff74d8e.jpg"
"1750853493-8","https://www.expat-dakar.com/equipements-pieces?page=30","Bache auto 4×4 pvc doublé en coton
                                Neuf
                                                                                    Liberte 6,
                                                                                Dakar
                                    
                                        16. avr., 15:34
                                    
                    25 000 F Cfa
                        
                        770922410","https://www.expat-dakar.com/annonce/bache-auto-44-pvc-double-en-coton-4998928","Détails","Neuf","Liberte 6
            
                Dakar","25 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/82144e24aded22cc1f9930211b8d4862/-/horizon-files-prod/ed/picture/qwqnjkm/ff82b022eb31bc0790462487e6319e30126549b6.jpg"
"1750853496-9","https://www.expat-dakar.com/equipements-pieces?page=30","Bache auto berline
                                Neuf
                                                                                    Liberte 6,
                                                                                Dakar
                                    
                                        Hier, 14:35
                                    
                    20 000 F Cfa
                        
                        770922410","https://www.expat-dakar.com/annonce/bache-auto-berline-4998939","Détails","Neuf","Liberte 6
            
                Dakar","20 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/a16d229ce8959dcad45c82ed246202ef/-/horizon-files-prod/ed/picture/q2p85wd/25e7c99c09795e60d63825c37daa59a03b3855a3.jpg"
"1750853499-10","https://www.expat-dakar.com/equipements-pieces?page=30","Maxy compresseur Air 35L
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        lundi, 18:52
                                    
                    1 F Cfa
                        
                        782126969","https://www.expat-dakar.com/annonce/maxy-compresseur-air-35l-5055814","Détails","Neuf","Plateau
            
                Dakar","1 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/fd331a330e2e930dd634760bfacdab3e/-/horizon-files-prod/ed/picture/qk9ve4z/3ef8ba0ff61b8b8f6b50d5fa37fb4ab954ed9ac0.jpg"
"1750853505-11","https://www.expat-dakar.com/equipements-pieces?page=29","Chargeur de batterie de voiture/moto  plomb gel AGM 12V 2A
                                Neuf
                                                                                    Patte d‘oie,
                                                                                Dakar
                                    
                                        16. mai, 14:46
                                    
                    10 000 F Cfa
                        
                        784074746
                    
                        784485061
                    
                        781932453","https://www.expat-dakar.com/annonce/chargeur-de-batterie-de-voituremoto-plomb-gel-agm-12v-2a-5079781","Détails","Neuf","Patte d‘oie
            
                Dakar","10 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/aa5f64a6bd3cf7606c1fb705e97f9aa8/-/horizon-files-prod/ed/picture/qjvg4zr/88b64e0a770e915c4703ce9cdc2104c381323be1.jpg"
"1750853509-12","https://www.expat-dakar.com/equipements-pieces?page=29","Bâches auto(berline)
                                Neuf
                                                                                    Liberte 6,
                                                                                Dakar
                                    
                                        mardi, 15:55
                                    
                    20 000 F Cfa
                        
                        770922410","https://www.expat-dakar.com/annonce/baches-autoberline-5127089","Détails","Neuf","Liberte 6
            
                Dakar","20 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/9f23680a914538a52bcc74fe892fe96e/-/horizon-files-prod/ed/picture/q7nem5m/fbd523bef8fb54f86bf4dc826a276eaa15d8faee.jpg"
"1750853512-13","https://www.expat-dakar.com/equipements-pieces?page=29","Bâches suv;4×4
                                Neuf
                                                                                    Liberte 6,
                                                                                Dakar
                                    
                                        30. mai, 13:12
                                    
                    25 000 F Cfa
                        
                        770922410","https://www.expat-dakar.com/annonce/baches-suv44-5127093","Détails","Neuf","Liberte 6
            
                Dakar","25 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/2c7f8b1f9408a0c81cf54ab295da3ae9/-/horizon-files-prod/ed/picture/qnrmzxv/04943fb28cfb9973dd77302f0f1e884b0b4b4cd3.jpg"
"1750853515-14","https://www.expat-dakar.com/equipements-pieces?page=29","Bâches auto
                                Neuf
                                                                                    Liberte 6,
                                                                                Dakar
                                    
                                        16. avr., 15:33
                                    
                    20 000 F Cfa
                        
                        770922410","https://www.expat-dakar.com/annonce/baches-auto-4868926","Détails","Neuf","Liberte 6
            
                Dakar","20 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/60a2f180c0468049060335eef4f45086/-/horizon-files-prod/ed/picture/q9pqkv7/fc18cbf11f53d1e0d66b38ef978e82bebe227c28.jpg"
"1750853518-15","https://www.expat-dakar.com/equipements-pieces?page=29","Transmetteur / modulateur Fm multifonction
                                Neuf
                                                                                    Patte d‘oie,
                                                                                Dakar
                                    
                                        13. mai, 10:59
                                    
                    500 F Cfa
                        
                        784074746
                    
                        784485061
                    
                        781932453","https://www.expat-dakar.com/annonce/transmetteur-modulateur-fm-multifonction-3468109","Détails","Neuf","Patte d‘oie
            
                Dakar","500 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/a6f591948fabb2a191e5e7284c832d98/-/horizon-files-prod/ed/picture/q4wv9mr/db5f3a076ae92e7c8da3331725ab0965e77c0e60.jpg"
"1750853522-16","https://www.expat-dakar.com/equipements-pieces?page=29","Optimiseur de voiture EcoBoost, économiseur de carburant
                                Neuf
                                                                                    Patte d‘oie,
                                                                                Dakar
                                    
                                        24. mai, 15:22
                                    
                    5 000 F Cfa
                        
                        781932453
                    
                        784485061
                    
                        783570169","https://www.expat-dakar.com/annonce/optimiseur-de-voiture-ecoboost-economiseur-de-carburant-5100907","Détails","Neuf","Patte d‘oie
            
                Dakar","5 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/81ab29605cdf12b38c97c86ccfd94fc6/-/horizon-files-prod/ed/picture/qqpe446/7043a3a9368a80bb259ea2dc770327203274adaf.jpg"
"1750853525-17","https://www.expat-dakar.com/equipements-pieces?page=29","Housse Voiture de luxe
                                Neuf
                                                                                    Grand-Dakar,
                                                                                Dakar
                                    
                                        lundi, 13:07
                                    
                    50 000 F Cfa
                        
                        782963838
                    
                        762963434
                    
                        771874229","https://www.expat-dakar.com/annonce/housse-voiture-de-luxe-4747740","Détails","Neuf","Grand-Dakar
            
                Dakar","50 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/9acc5ee3d66deb127f933cfa93788b78/-/horizon-files-prod/ed/picture/qd59v22/b7f581fd80760f649c1a2f609504b78082157994.png"
