web-scraper-order,web-scraper-start-url,voiture_link,voiture_link-href,etat,marque,annee,boite_vitesse,adresse,prix,image-src
"1750846535-1","https://www.expat-dakar.com/voitures?page=377","vOLKSWAGEN TIGUAN 2017 S, LIMITED 2.0 TSI
                                VenantVolkswagen2017Automatique
                                                                                    VDN,
                                                                                Dakar
                                    
                                        6. mai, 09:01
                                    
                    8 000 000 F Cfa
                        
                        777521638
                    
                        762391628","https://www.expat-dakar.com/annonce/volkswagen-tiguan-2017-s-limited-20-tsi-6253458","Venant","Volkswagen","2017","Automatique","VDN","8 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/d75a55062265facaf0e6b375265c8e99/-/horizon-files-prod/ed/picture/qkr8kpx5/592ce675e73582295a2ad750567e54be3abc043d.jpg"
"1750846552-2","https://www.expat-dakar.com/voitures?page=372","Jeep Grand Cherokee 2015
                                D'occasionJeep2015Automatique
                                                                                    Ouakam,
                                                                                Dakar
                                    
                                        5. juin, 21:46
                                    
                    8 500 000 F Cfa
                        
                        768278880
                    
                        774636993","https://www.expat-dakar.com/annonce/jeep-grand-cherokee-2015-6293760","D'occasion","Jeep","2015","Automatique","Ouakam","8 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/a2b0d1db0aa0fce4a78580e471a99b30/-/horizon-files-prod/ed/picture/qpdmzdrp/e5ff75d83e884b73646e0acdc3784484fd422c0c.jpg"
"1750846554-3","https://www.expat-dakar.com/voitures?page=372","MAYBACH
                                VenantMercedes-Benz2020
                                                                                    Sicap Liberté,
                                                                                Dakar
                                    
                                        23. mai, 05:12
                                    
                    44 000 000 F Cfa
                        
                        779446856","https://www.expat-dakar.com/annonce/maybach-6294907","Venant","Mercedes-Benz","2020","","Sicap Liberté","44 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/45b9f34f4e61afacc6ec23e626c24543/-/horizon-files-prod/ed/picture/qq42j2q7/d2ad79c407b19e6420596cf9e42f1f91a1f5bffc.jpg"
"1750846557-4","https://www.expat-dakar.com/voitures?page=372","2020 Mitsubishi outlander/RVR
                                VenantMitsubishi2020
                                                                                    Sacré-cœur,
                                                                                Dakar
                                    
                                        4. mai, 13:43
                                    
                    13 000 000 F Cfa
                        
                        781797743
                    
                        781797743","https://www.expat-dakar.com/annonce/2020-mitsubishi-outlanderrvr-6295033","Venant","Mitsubishi","2020","","Sacré-cœur","13 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/81662d275d6d081d844d6a072d0aeb9f/-/horizon-files-prod/ed/picture/qxjp0p80/d876af0e75469d558ccf356dc16d4047905663cd.jpg"
"1750846560-5","https://www.expat-dakar.com/voitures?page=372","Kia sorento 2017
                                VenantKia2017Automatique
                                                                                    Rufisque,
                                                                                Dakar
                                    
                                        5. juin, 01:26
                                    
                    10 500 000 F Cfa
                        
                        771739395","https://www.expat-dakar.com/annonce/kia-sorento-2017-6294661","Venant","Kia","2017","Automatique","Rufisque","10 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/9773122b8c4e4f4c8522155efb626465/-/horizon-files-prod/ed/picture/q2j0eq5p/95b2f9ae2341b0a6dd1326e043d9c1e61b5f99cc.jpg"
"1750846562-6","https://www.expat-dakar.com/voitures?page=372","2018 Ford Edge
                                VenantFord2018Automatique
                                                                                    Sacré-cœur,
                                                                                Dakar
                                    
                                        27. mars, 17:47
                                    
                    9 900 000 F Cfa
                        
                        781797743
                    
                        781797743","https://www.expat-dakar.com/annonce/2018-ford-edge-6283295","Venant","Ford","2018","Automatique","Sacré-cœur","9 900 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/4c7528384810432eb607eb9a7dcfe198/-/horizon-files-prod/ed/picture/qq420dqw/904f0c5ccbe2d1e643475ddc228eda5f4723fef8.jpg"
"1750846565-7","https://www.expat-dakar.com/voitures?page=372","LAND ROVER DISCOVER SPORT 2018 4X4
                                VenantLand Rover2018Automatique
                                                                                    Mermoz,
                                                                                Dakar
                                    
                                        24. avr., 14:19
                                    
                    13 500 000 F Cfa
                        
                        781015151
                    
                        777868944
                    
                        776052074","https://www.expat-dakar.com/annonce/land-rover-discover-sport-2018-4x4-6267374","Venant","Land Rover","2018","Automatique","Mermoz","13 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/c87fc13176b000dac34c15640be9e22c/-/horizon-files-prod/ed/picture/q8v472zr/4ecb0287d03421927f6818036f244f2461140eeb.jpg"
"1750846571-8","https://www.expat-dakar.com/voitures?page=371","KIA TELLURIDE 2020 SX 4X4
                                VenantKia2020Automatique
                                                                                    VDN,
                                                                                Dakar
                                    
                                        27. mars, 12:43
                                    
                    20 000 000 F Cfa
                        
                        781015151
                    
                        777868944
                    
                        776052074","https://www.expat-dakar.com/annonce/kia-telluride-2020-sx-4x4-6267367","Venant","Kia","2020","Automatique","VDN","20 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/a1e1cb55d9e0aeed2982069a2d57a16d/-/horizon-files-prod/ed/picture/q78w6d7x/2fd827b9d72ecb0c65a5c8779a8cb2752ab67175.jpg"
"1750846573-9","https://www.expat-dakar.com/voitures?page=371","vente Peugeot
                                VenantPeugeot2017Manuelle
                                                                                    Nord foire,
                                                                                Dakar
                                    
                                        8. avr., 19:15
                                    
                    4 900 000 F Cfa
                        
                        774459713","https://www.expat-dakar.com/annonce/vente-peugeot-6294843","Venant","Peugeot","2017","Manuelle","Nord foire","4 900 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/e206c2530f0fa91249967ac903f30b64/-/horizon-files-prod/ed/picture/qzvpndn8/9ff70e96a64bf0f58ffdbd8d6cdde37696decbbd.jpg"
"1750846576-10","https://www.expat-dakar.com/voitures?page=371","Hyundai Sonata 2019 venant déjà dédouané
                                VenantHyundai2019Automatique
                                                                                    Liberte 6,
                                                                                Dakar
                                    
                                        28. févr., 22:54
                                    
                    7 800 000 F Cfa
                        
                        771341824
                    
                        771341824","https://www.expat-dakar.com/annonce/hyundai-sonata-2019-venant-deja-dedouane-6297071","Venant","Hyundai","2019","Automatique","Liberte 6","7 800 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/3c0b3f95779cbee0dedc224040986cc2/-/horizon-files-prod/ed/picture/qngpmj2z/a4eb55bdb603506f4efd1e1e5c1d5ee3fc3f13c2.jpg"
