détail,état_tv,adresse,prix,image_lien
,Neuf,"Grand-Dakar,
                                                                                Dakar",25 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/40712c576e07ab9f52f753ecffd34bd5/-/horizon-files-prod/ed/picture/qpdp8wx2/876ca19313baf8b0e8aa112e675dfd20095de499.png
,D'occasion,"Amitié,
                                                                                Dakar",1 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7fd31ece936bf7b99a66ced7fc5002c2/-/horizon-files-prod/ed/picture/qng900n9/19fa474c6515f3ec8b28ce24655091054fba3efc.jpg
,Neuf,"Médina,
                                                                                Dakar",,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d389d2dc80f47daf5bf59d0c04fa298f/-/horizon-files-prod/ed/picture/qkz465j/38b023a4dd8817cd38534d23dba123ab47f5243a.jpg
,Neuf,"Médina,
                                                                                Dakar",60 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ac80258bfd09a67bb42e5e22fb7e4a63/-/horizon-files-prod/ed/picture/migrated/qq95xgk/f41ac2d0059a64c8576bc746374e2951b99720c5.jpg
,Neuf,"Médina,
                                                                                Dakar",40 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4860607bb1e7d0105fba94c56feba739/-/horizon-files-prod/ed/picture/qngdr50r/f465d9a72463e51dd50b7ca5f2e681cc0ba4b631.jpg
,Neuf,"Pikine,
                                                                                Dakar",75 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/aca8f908f064e9b97886879b6f5c2137/-/horizon-files-prod/ed/picture/q8vmkz8p/1224f567615271539230ba1754237f03ca5a5460.jpg
,Venant,"Hlm,
                                                                                Dakar",1 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/40f95b9682a9b5f23da5904073b402e7/-/horizon-files-prod/ed/picture/qng90djk/b51456f0ca0f655f058d40e97d94d5ae35a8d160.jpg
,Neuf,"Liberte 5,
                                                                                Dakar",35 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/444773512f2801529371c8e3fb57d824/-/horizon-files-prod/ed/picture/qxvzn44/f90289ae90b90ec9d651c9e288c1ea81d0b0fb10.jpg
,Neuf,"Almadies 2,
                                                                                Dakar",50 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d454b3d4cccc71db315d3c4033566a70/-/horizon-files-prod/ed/picture/qrzrnrw8/56cb0c8213d831ce13b31495b3d3ce53c49b9890.jpg
,D'occasion,"Almadies 2,
                                                                                Dakar",50 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/9ed3e1c04f0c28b468804897a890bef4/-/horizon-files-prod/ed/picture/qgqmpmr4/22b0572248ca38d6b80df8930948aace47661d61.jpg
,Neuf,"Grand-Dakar,
                                                                                Dakar",15 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7884f07beeac41328467ca50f0aef5a0/-/horizon-files-prod/ed/picture/q787g6rz/8d2ecd5655f7460a0f677444d49eb5d07f19f050.jpg
,Neuf,"Médina,
                                                                                Dakar",2 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/5b8495783aad2fd06d42d1a7fd17dbd5/-/horizon-files-prod/ed/picture/qxj86p48/abc4ca277c3179a7692f668cf3a5778551202bb0.jpg
,Neuf,"Sicap Liberté,
                                                                                Dakar",50 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f014260bd8e37f040a4f36a885759dd8/-/horizon-files-prod/ed/picture/q2jk7vp6/9f256c08ca6da09dc2399392a05c30c7114f9861.jpg
,Neuf,"Grand-Dakar,
                                                                                Dakar",10 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a00f772f7506af5321a639d7a6a810e4/-/horizon-files-prod/ed/picture/qwep6qkk/8fbda44a494cd8ec9be71b46e056daa8918a0e94.jpg
,Neuf,"Grand-Dakar,
                                                                                Dakar",35 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8d5db31cd0e8b2d6dca2e685699f3291/-/horizon-files-prod/ed/picture/q56dz05g/d2a3fb5ec5d7ad776f21d956d63e2517386bf6be.png
,Neuf,"Gueule-Tapée,
                                                                                Dakar",40 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1ad8c6acab01b204556df3b03378ebcf/-/horizon-files-prod/ed/picture/q2jk72wv/c2a2b203cd5c87b27eb6ab4e2bbe442384e51f4c.jpg
,Neuf,"Médina,
                                                                                Dakar",50 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3b2e76b129856b8a7a62da4bcaa4c5ab/-/horizon-files-prod/ed/picture/q06ep6d/c4eeedee011f5e40c80c2b7206a3e432efaa0e16.jpg
,Neuf,"Mermoz,
                                                                                Dakar",35 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bf1c1d061038f725020ded5cbc7c1668/-/horizon-files-prod/ed/picture/qwerg9m0/80f3154b6474724686c74791f00ae3ebafc95b4e.jpg
,Neuf,"Grand-Dakar,
                                                                                Dakar",25 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1631c3b366cd2ac5a2bd14d51d8a0adc/-/horizon-files-prod/ed/picture/qvjrkkw/d25057bf76f98556a946f6ddebb077be1d86009e.png
,Neuf,"Virage,
                                                                                Dakar",90 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d58f882f98520b38f5ff4a9038ece216/-/horizon-files-prod/ed/picture/q6xqnmm7/8baabe3e53d62f5c20a8444305b6e2b8888b4a4f.jpg
,Neuf,"Parcelles Assainies,
                                                                                Dakar",12 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/836256076ca24d82f9b178e29f2d7a1e/-/horizon-files-prod/ed/picture/qj46p2k4/8781a7d1e4986d5a2de7e052b2633b70bb00d804.jpg
,Neuf,"Guediawaye,
                                                                                Dakar",13 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/74096278a496f50a02429d9a514e691a/-/horizon-files-prod/ed/picture/qkr7p0vz/041bbfb7b71f9460c14c9680c6987d71d5973646.jpg
,Neuf,"Sud foire,
                                                                                Dakar",5 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/13a06a67d1d63344191c4cfde9356508/-/horizon-files-prod/ed/picture/qq4z4mqv/39a42b91a9d7db278ba5e0a15bb57a42ae686466.jpg
,Neuf,"Plateau,
                                                                                Dakar",50 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8189997313151471c9a9c34ae43cacbb/-/horizon-files-prod/ed/picture/q0g7rn5w/641520c23ee7f1d2090e95b9174b89cde3581660.jpg
,Neuf,"Castor,
                                                                                Dakar",25 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bbc1cf67f702ecbce9f84658e6441af2/-/horizon-files-prod/ed/picture/qm5gxze9/a8b69a2184d7aad1c7a2104e2800897589ddbdf3.jpg
,Neuf,"Dieuppeul,
                                                                                Dakar",50 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1309197659571bf7861ef9c723fa84ed/-/horizon-files-prod/ed/picture/qrzrnvvm/21720097cad52bbea53bec6fcec93a1b1a09139e.jpg
