details,etat,adresse,prix,image-src
Détails,Neuf,Plateau Dakar,35 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a60e1569b8e072f038f9e17d6783a67e/-/horizon-files-prod/ed/picture/qkkxwvv/67f4646ddb5a973c3c0619d035a46ea661bcacf3.jpg
Détails,Neuf,Colobane Dakar,75 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/66ca918407cabf3def90fb5629b2056d/-/horizon-files-prod/ed/picture/q2vg20g/1581a2946828d4aef3f60ec7c59e4c9c6972df4b.jpg
Détails,Neuf,Hann Bel-Air Dakar,15 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b2006edd28746398c94096c13ee80209/-/horizon-files-prod/ed/picture/qdpdekw/17c249ca8bcc07ce724a19d5b8293ecccf348187.jpg
Détails,D'occasion,Colobane Dakar,200 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/dbac50b4db54bb07067baa7ff8776f96/-/horizon-files-prod/ed/picture/qe6w8w2/185cb2ea0c86cff246595ec1ac975d1370211f8b.jpg
Détails,Neuf,Liberte 6 Dakar,25 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ac5ac6c1ff058bc8fdc3ca1900e41f9c/-/horizon-files-prod/ed/picture/qwd7rxd/4cb817a20255bd3c9ac38654ea0bbaafaad6642c.jpg
Détails,Neuf,Liberte 6 Dakar,6 500 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/95fe110f081430d9d8b2acbdaaa4f076/-/horizon-files-prod/ed/picture/q945mr8/76c8d33dd6f842281ca4efcc86516bddf10c225b.jpg
Détails,Neuf,Grand-Dakar Dakar,7 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/630ca8aed819bc74b052ab96fa5dd457/-/horizon-files-prod/ed/picture/qnqd980/8e355d413f858043d798b2c1f09cdebecff74d8e.jpg
Détails,Neuf,Liberte 6 Dakar,25 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/82144e24aded22cc1f9930211b8d4862/-/horizon-files-prod/ed/picture/qwqnjkm/ff82b022eb31bc0790462487e6319e30126549b6.jpg
Détails,Neuf,Liberte 6 Dakar,20 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a16d229ce8959dcad45c82ed246202ef/-/horizon-files-prod/ed/picture/q2p85wd/25e7c99c09795e60d63825c37daa59a03b3855a3.jpg
Détails,Neuf,Plateau Dakar,1 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/fd331a330e2e930dd634760bfacdab3e/-/horizon-files-prod/ed/picture/qk9ve4z/3ef8ba0ff61b8b8f6b50d5fa37fb4ab954ed9ac0.jpg
Détails,Neuf,Patte d‘oie Dakar,10 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/aa5f64a6bd3cf7606c1fb705e97f9aa8/-/horizon-files-prod/ed/picture/qjvg4zr/88b64e0a770e915c4703ce9cdc2104c381323be1.jpg
Détails,Neuf,Liberte 6 Dakar,20 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/9f23680a914538a52bcc74fe892fe96e/-/horizon-files-prod/ed/picture/q7nem5m/fbd523bef8fb54f86bf4dc826a276eaa15d8faee.jpg
Détails,Neuf,Liberte 6 Dakar,25 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/2c7f8b1f9408a0c81cf54ab295da3ae9/-/horizon-files-prod/ed/picture/qnrmzxv/04943fb28cfb9973dd77302f0f1e884b0b4b4cd3.jpg
Détails,Neuf,Liberte 6 Dakar,20 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/60a2f180c0468049060335eef4f45086/-/horizon-files-prod/ed/picture/q9pqkv7/fc18cbf11f53d1e0d66b38ef978e82bebe227c28.jpg
Détails,Neuf,Patte d‘oie Dakar,500 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a6f591948fabb2a191e5e7284c832d98/-/horizon-files-prod/ed/picture/q4wv9mr/db5f3a076ae92e7c8da3331725ab0965e77c0e60.jpg
Détails,Neuf,Patte d‘oie Dakar,5 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/81ab29605cdf12b38c97c86ccfd94fc6/-/horizon-files-prod/ed/picture/qqpe446/7043a3a9368a80bb259ea2dc770327203274adaf.jpg
Détails,Neuf,Grand-Dakar Dakar,50 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/9acc5ee3d66deb127f933cfa93788b78/-/horizon-files-prod/ed/picture/qd59v22/b7f581fd80760f649c1a2f609504b78082157994.png
Détails,Neuf,Liberte 6 Dakar,25 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/de385b14a02600cd9ace197e385f6422/-/horizon-files-prod/ed/picture/qder8rjw/543132ad43b640a51d82b87b26f73fd7529d7e0e.jpg
Détails,Neuf,Liberte 6 Dakar,15 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/aed313566fa0378b8887485b5a34236c/-/horizon-files-prod/ed/picture/qq4q028v/5e1ca271c140bdb20ee8a789722589d3a4dff6d2.jpg
Détails,Neuf,Grand-Dakar Dakar,10 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/e8408cf6e63fca65c2172d6b90646f61/-/horizon-files-prod/ed/picture/qdzrznr/9a02b67ad2fed90d60c098e64721a0af601ca8c6.jpg
Détails,Neuf,Patte d‘oie Dakar,10 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/1e123936e4619c370bf9d3c9311d4a45/-/horizon-files-prod/ed/picture/qweenxr5/d4bf64c04ad5f63648c9a84d908f24a8c2897e10.jpg
Détails,Neuf,Liberte 6 Dakar,45 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c5b38715df3b2e8c6c57e28b8bd27144/-/horizon-files-prod/ed/picture/q444m5ve/4291db300ddf72bde04a3217e4544fe2e9829da3.jpg
Détails,Neuf,Liberte 6 Dakar,20 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/94dfbbd06a6ff5f84657d54f49f240c7/-/horizon-files-prod/ed/picture/qpddq6rr/4d1c1cc279a874ab1be569b77c1544145733d0f7.jpg
Détails,Neuf,Patte d‘oie Dakar,40 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/8a09086ce35f2ba77e07c3fa1b4f72a2/-/horizon-files-prod/ed/picture/qrzzm9m9/ba61ba551140387731adbfc21ec243aabde27f1e.jpg
Détails,Neuf,Liberte 6 Dakar,20 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/274cd057d2f81b50bc8d4414e81d3387/-/horizon-files-prod/ed/picture/qnggnx8x/056e83b79ce28deca35d75200e552e728b88304f.jpg
Détails,Neuf,Grand-Dakar Dakar,25 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/787e3afd162fadb75338a2625cc56711/-/horizon-files-prod/ed/picture/qv5d22v/28826204bd1d65e03d64a8e57ae2117ba8f43ef4.png
,Neuf,Hann maristes Dakar,20 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/45b8b326763dfee78326cc519cef9943/-/horizon-files-prod/ed/picture/qrzz9v7j/78e2768515aae79eb00b8e4a1bc160bad475bb38.jpg
,Neuf,Hann maristes Dakar,30 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/631493f0dfcb4143efb2c16770bbf7a7/-/horizon-files-prod/ed/picture/qenn4prz/b72aaf6fc3a1704f18d59631a4d6432ce5b9029f.jpg
Détails,D'occasion,Colobane Dakar,1 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/4f1a92413f2adc66fa4896cd5c5dbc75/-/horizon-files-prod/ed/picture/q0g2pm6d/ee708fcce62a6cf9738ffc376d06570d90a595cc.jpg
Détails,Neuf,Sicap Liberté Dakar,20 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c65b287f226f1cb8bd3fb9f535a5a74b/-/horizon-files-prod/ed/picture/q9m8kj95/0c845a1b098dc52609de492b18ee34955e36c991.jpg
Détails,Neuf,Sicap Liberté Dakar,15 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c9466cc4ad08b97b86c41373eb4524c8/-/horizon-files-prod/ed/picture/qj4jz97v/35006b476a5fe93a1a713d95ae0cfb3a8acd1690.jpg
Détails,Neuf,Guediawaye Dakar,3 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/8b03b4364c3b627736e08a3dd16b35ee/-/horizon-files-prod/ed/picture/qq4dxg5j/a9a6adb75a844bd7a1826d14ee0cc461c15c2b09.jpg
,Neuf,Hann maristes Dakar,20 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d971e7e517b3e911f540bfe7d79ed305/-/horizon-files-prod/ed/picture/q9m8z2q7/02216bcc87a8cb1dd7dadab371c0c7e45e9c64d0.jpg
Détails,Neuf,Grand-Dakar Dakar,60 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d90b40186a8fe34b1afb6203a12dbd78/-/horizon-files-prod/ed/picture/qendmvp4/47e36a6fbcc6f2098cb3ddc59a64f86b0f25f0f4.png
Détails,Neuf,Sicap Liberté Dakar,9 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ce737377c574cbc983242d070a588142/-/horizon-files-prod/ed/picture/qv4p62pg/5127d552a80b588358a8745d9be6fd235ec5baf6.jpg
Détails,Neuf,Sicap Liberté Dakar,25 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/000ae825a5639a9adbb6dae58e8539c8/-/horizon-files-prod/ed/picture/qngdez9z/66c079258c9f1a6662f7c8ce12e23fd48fb3fd63.jpg
Détails,Neuf,Ouakam Dakar,15 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/496d4ff65db8f305111b9a0d6475f658/-/horizon-files-prod/ed/picture/qm5r8dkm/0c2c31280fc799a7a1f0b4f47a1eaf2a9ef3c504.jpg
Détails,Neuf,Grand-Dakar Dakar,50 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/2498f71be500e38c3006289e312755b4/-/horizon-files-prod/ed/picture/qjv0n5r/e4a2da62631e76a0050d6f551d03f8cc168db03b.png
Détails,Neuf,Ouakam Dakar,12 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/39b9ebc08d299774791fce091e44819b/-/horizon-files-prod/ed/picture/q8v50wr7/2a132d53304b5489cafeeb9465a132833d51402c.jpg
,Neuf,Hann maristes Dakar,25 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/896968154f729228ee6dc87b4294c0f1/-/horizon-files-prod/ed/picture/q44d20n9/b9c44881b3cac9e92e894190fd211bd7734a4a5e.jpg
Détails,Neuf,Grand-Dakar Dakar,19 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/9b7c4873430582ad034721b96ecbfec4/-/horizon-files-prod/ed/picture/qpdpkjxj/635a1e447b63bfa24f18a5d906a925b8db180458.png
