État,Marque,Année,Adresse,Prix,Image
Venant,Yamaha,2009,"Parcelles Assainies,
                                                                                Dakar",1 300 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/fa08f1fd7de35298f3725e9b1482a506/-/horizon-files-prod/ed/picture/q0gk8ngj/13d1ca4a5eab4de386a1d8e215c55c57bd8e4345.jpg
D'occasion,Yamaha,2021,"Almadies,
                                                                                Dakar",3 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4f9c1893bb94ab38ae20d4ee0857b58f/-/horizon-files-prod/ed/picture/q0gk8kjk/55632dd2c2d7b3d7f1eb78ffc3a5d3f2ed3c90f7.jpg
Venant,Honda,2024,"Fass,
                                                                                Dakar",700 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a333dca24777f64ddc842ab74942afdd/-/horizon-files-prod/ed/picture/qkr767zz/74250d40f64b3da81e69e1d31dd24b8fd8a38793.jpg
D'occasion,BMW,2020,"Yoff,
                                                                                Dakar",5 200 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0cfa004c330d62cd7ab1b83cf81e7f48/-/horizon-files-prod/ed/picture/qenrv6k9/3453cbfc1005734fc2612c8b89c295889f8d1ec0.jpg
Venant,Honda,2018,"Almadies,
                                                                                Dakar",3 200 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/5f236be65845ccc9ce0003462607e9e3/-/horizon-files-prod/ed/picture/q0gkn67m/ad572c9299300d5b5265efb4117bcd2ef77f50ec.jpg
Neuf,BMW,2024,"Mermoz,
                                                                                Dakar",6 100 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1450cd563c82da5f8d3e0be783da88d0/-/horizon-files-prod/ed/picture/q4450kgm/0b42ba3a248c2aae0b1f79fd20a414397a212a5d.jpg
D'occasion,KTM,2010,"Dakar,
                                                                                Dakar",385 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ecfa3d1d13b9e738cbd8250bc433ce8b/-/horizon-files-prod/ed/picture/qzv8r84x/5ca7d66a51280322cc98fe562091f74dafdb3855.jpg
Réconditionné,Polaris,2016,"Saly Portudal,
                                                                                Thiès",2 850 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0544c115c52923cce6b68364338fc215/-/horizon-files-prod/ed/picture/qxj8w6k0/705442e18d71db5b303f75ee30aa7e4dcee2ad2c.jpg
Venant,BMW,2016,"Point-e,
                                                                                Dakar",2 600 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b30f65f7aa865c1f4d29104a9387beeb/-/horizon-files-prod/ed/picture/qj46p0mg/34e8613052e26966e21f49e9e5a5e882ce4fc1ed.jpg
D'occasion,Yamaha,2008,"Guediawaye,
                                                                                Dakar",1 200 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/481e341ffd2d4fba7eeae5f9ec797220/-/horizon-files-prod/ed/picture/q0gknr56/64612a489c8e89cc7922a3c8cc4ff60fe4680a9e.jpg
Neuf,Yamaha,2022,"Liberte 6 extension,
                                                                                Dakar",1 600 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/67040ab748845d89052c984f3d30fea5/-/horizon-files-prod/ed/picture/qq4z906j/7889cbe4acde88aded5ae472c91858c52ead1b62.jpg
Venant,Yamaha,2010,"Liberte 6 extension,
                                                                                Dakar",775 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1dd104281157826dc9b19f143014cfad/-/horizon-files-prod/ed/picture/q8vmmdk0/dfc26f3b47a00ccfdb914508dd26be008d219a35.jpg
Venant,Piaggio,2020,"Fass,
                                                                                Dakar",950 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/80eb0202849e5d5159aa08afac9eb81f/-/horizon-files-prod/ed/picture/q4450vwv/2c1583dd69c2e90d48f9632fe1cea7bef4af6755.jpg
Venant,BMW,2021,"Hann maristes,
                                                                                Dakar",3 200 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d475b08a02a3d14849d803d82c4c5815/-/horizon-files-prod/ed/picture/qpdg09jw/b078a6e4ec47db71e944b70b3a7ffea7d02b1167.jpg
D'occasion,Yamaha,2009,"Mbour,
                                                                                Thiès",1 200 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/396645321f516f4ac91fa96681eb99cb/-/horizon-files-prod/ed/picture/q6xqn8en/6294eeae8d1a3f7b3158282acb54f10970a0a637.jpg
D'occasion,BMW,2013,"Saly,
                                                                                Thiès",2 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4ae15c60bd73439b621911c5e8e2caa1/-/horizon-files-prod/ed/picture/qwerg505/706a45c55dd8c6204fdcff817c3cacef9ee24003.jpg
D'occasion,BMW,2013,"Saly,
                                                                                Thiès",2 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f6cfaa9168c1be0a739cb19a752485a9/-/horizon-files-prod/ed/picture/q8vm4ez9/8309ec3f69b2a4b8d58f68599de028444757c796.jpg
Venant,BMW,2023,"Dakar,
                                                                                Dakar",5 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a0521f68d5519dd8be4cfd20461e74a2/-/horizon-files-prod/ed/picture/qq4z9gr7/7247f0997c9e191f4b0bb8c386bf890bb4bab623.jpg
D'occasion,BMW,2012,"Dieuppeul,
                                                                                Dakar",1 200 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/54a6e2e3979d0b1ac89aec0082b77ba0/-/horizon-files-prod/ed/picture/qxj8gzxz/f7f25ddbb6724ee01a89cab50801b43f18f2aca3.jpg
D'occasion,Harley Davidson,2019,"Almadies,
                                                                                Dakar",15 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/5cff6be8bd308435a5e7c99dd7fb4193/-/horizon-files-prod/ed/picture/qv4dep95/be494ab78766878256198cdb1989f3d592dac121.jpg
D'occasion,Honda,2016,"Mbour,
                                                                                Thiès",3 250 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/df652a9c6cf3d4f081409bd96dad870b/-/horizon-files-prod/ed/picture/q6xqn6w6/77e0d3a7fd44df41f4e334389a0b19444d6137ed.jpg
D'occasion,BMW,2023,"Sicap Liberté,
                                                                                Dakar",6 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f48f930e46e8e51c584c9f56d4e312cf/-/horizon-files-prod/ed/picture/qv4dgp45/180b0243cbd1606b2a9934a94cb92dd49d2b1766.jpg
Venant,Honda,2018,"Bargny,
                                                                                Dakar",1 400 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/5811c7cae6b807152705f5ef3f0b70bb/-/horizon-files-prod/ed/picture/qzvpmxkk/0ed3a3a2d87738f744721ed673145bb12d177aa9.jpg
Venant,Autre,2024,"Hann marinas,
                                                                                Dakar",250 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0efad44d174f8ae7309b3797ad29829a/-/horizon-files-prod/ed/picture/qenrrg79/e213450b5a4cebee9dd2398a1471795f157c2115.jpg
D'occasion,Lifan,2022,"Mamelles,
                                                                                Dakar",490 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/15cf40e834cc1fa4cfae14a41106bca5/-/horizon-files-prod/ed/picture/qng99m8v/c541e21d71ff931b3d408410a97b37e206d104a4.jpg
