etat,marque,annee,boite_vitesse,adresse,prix,image-src
Venant,Volkswagen,2017,Automatique,VDN,8 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d75a55062265facaf0e6b375265c8e99/-/horizon-files-prod/ed/picture/qkr8kpx5/592ce675e73582295a2ad750567e54be3abc043d.jpg
D'occasion,Jeep,2015,Automatique,Ouakam,8 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a2b0d1db0aa0fce4a78580e471a99b30/-/horizon-files-prod/ed/picture/qpdmzdrp/e5ff75d83e884b73646e0acdc3784484fd422c0c.jpg
Venant,Mercedes-Benz,2020,0,Sicap Liberté,44 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/45b9f34f4e61afacc6ec23e626c24543/-/horizon-files-prod/ed/picture/qq42j2q7/d2ad79c407b19e6420596cf9e42f1f91a1f5bffc.jpg
Venant,Mitsubishi,2020,0,Sacré-cœur,13 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/81662d275d6d081d844d6a072d0aeb9f/-/horizon-files-prod/ed/picture/qxjp0p80/d876af0e75469d558ccf356dc16d4047905663cd.jpg
Venant,Kia,2017,Automatique,Rufisque,10 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/9773122b8c4e4f4c8522155efb626465/-/horizon-files-prod/ed/picture/q2j0eq5p/95b2f9ae2341b0a6dd1326e043d9c1e61b5f99cc.jpg
Venant,Ford,2018,Automatique,Sacré-cœur,9 900 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/4c7528384810432eb607eb9a7dcfe198/-/horizon-files-prod/ed/picture/qq420dqw/904f0c5ccbe2d1e643475ddc228eda5f4723fef8.jpg
Venant,Land Rover,2018,Automatique,Mermoz,13 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c87fc13176b000dac34c15640be9e22c/-/horizon-files-prod/ed/picture/q8v472zr/4ecb0287d03421927f6818036f244f2461140eeb.jpg
Venant,Kia,2020,Automatique,VDN,20 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a1e1cb55d9e0aeed2982069a2d57a16d/-/horizon-files-prod/ed/picture/q78w6d7x/2fd827b9d72ecb0c65a5c8779a8cb2752ab67175.jpg
Venant,Peugeot,2017,Manuelle,Nord foire,4 900 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/e206c2530f0fa91249967ac903f30b64/-/horizon-files-prod/ed/picture/qzvpndn8/9ff70e96a64bf0f58ffdbd8d6cdde37696decbbd.jpg
Venant,Hyundai,2019,Automatique,Liberte 6,7 800 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/3c0b3f95779cbee0dedc224040986cc2/-/horizon-files-prod/ed/picture/qngpmj2z/a4eb55bdb603506f4efd1e1e5c1d5ee3fc3f13c2.jpg
Venant,Ford,2016,Automatique,Liberte 6,6 300 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b76d6777e1af10f14b656a207d4d2a72/-/horizon-files-prod/ed/picture/qq42j5gk/e9011b267bd50b8d5adf215c08f55ea9df180168.jpg
D'occasion,Toyota,2016,Automatique,Almadies,8 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/9c1bd6abb761fd31cdaf1c519b2559be/-/horizon-files-prod/ed/picture/qgqwn80k/820c35522b227173b66beede90c1d1672bbc492c.jpg
Venant,Mercedes-Benz,2020,Automatique,Yoff,32 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/37d692da0cecb934b2616652a1c49ed0/-/horizon-files-prod/ed/picture/q9mjeg2v/435a8b28ea55e3970de260ee0228162188633d9d.jpg
Venant,Mercedes-Benz,2020,Automatique,Yoff,32 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/bac0260b21602d1774546d6ac3b782aa/-/horizon-files-prod/ed/picture/q8v4egxj/23318784ab7ef83d3d46b49ef83bda4f65b352e6.jpg
Venant,Mazda,2017,Automatique,Liberte 6,11 800 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/2441943298253c6ecf591b51f1236b8c/-/horizon-files-prod/ed/picture/qxjp0qrn/63a6ce7d00ea79eedc43ab8831dc1d564e7adfb6.jpg
Venant,BMW,2019,Automatique,Sacré-cœur,19 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/386028c4657d56e67571aec89bf46d4b/-/horizon-files-prod/ed/picture/q56degm7/4f1b31d3302c7f8161e2c0ddfd584ca1223e874f.jpg
Venant,Mitsubishi,2017,Automatique,Guinaw rail,18 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/dab4ef8d48c33930d9c5830e97768d83/-/horizon-files-prod/ed/picture/qgqwn8vr/35b963b0e9f482c118def8036005f0f86ec66d86.jpg
D'occasion,Hyundai,2017,Automatique,Guediawaye,6 300 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/85e6e73cfdbadde8f2224cbfbbcd6245/-/horizon-files-prod/ed/picture/qv4w7z5v/2d6ef302573d32afa09e55fb34616be33bdc2b0f.jpg
D'occasion,Peugeot,2014,Manuelle,Ouakam,4 750 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/1f68a99c086bff7cfdff5418f5096ff2/-/horizon-files-prod/ed/picture/qde7v42r/1b3c35c1e9154f7c62946ab32a1586acac4cf0e4.jpg
Neuf,Kia,2015,Automatique,Sicap foire,7 800 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/7e499ee53deb2dd7af9bfb497a778db1/-/horizon-files-prod/ed/picture/qkr84vpp/3a607878a31c370aa186c484cc9c4bd2156a0c81.jpg
D'occasion,Jeep,2017,Automatique,Parcelles Assainies,6 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d14f99bbce0185d57414c2163fc44245/-/horizon-files-prod/ed/picture/q2j0engg/a074c73ec322ff2a0c203e97de7136ce1d884328.jpg
Venant,BMW,2016,Automatique,Sacré-cœur,15 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/411e121aefb2bef6cb620bd972450a92/-/horizon-files-prod/ed/picture/qwepv5q5/48f391ad8799c4f2e99095825ee497ed99033bed.jpg
Neuf,Kia,2019,Automatique,Cité Damel,11 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/4359bc92ea8a228a7061f7e087382ec7/-/horizon-files-prod/ed/picture/qxjp0qmj/6b5864b1e5d4f4ae2aabb865df9b2de2c8c63e50.jpg
Venant,Hyundai,2017,Automatique,Gueule-Tapée,8 800 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b4e133c0281e3ea318fa8af492fb00d1/-/horizon-files-prod/ed/picture/qde7vz7m/b4dfccc51f724a4bfa29e0e02ea135bcc485a39d.jpg
Venant,Mercedes-Benz,2019,Automatique,Liberte 6 extension,18 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b7603026d61a222d040a31df90965af4/-/horizon-files-prod/ed/picture/q2j0evg2/f5b5956b7ad3f1b1e61a1840cd40f568d24790ed.jpg
D'occasion,BMW,2019,0,Mermoz,45 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d10779657855b320972ea32cbff89323/-/horizon-files-prod/ed/picture/q2j0evd2/7a71817a2a63a83902e58d2c051e2ab7e73e78ad.jpg
D'occasion,Toyota,2015,Automatique,Plateau,7 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/9d5f21cb75cbaa9396de17bc0b521e74/-/horizon-files-prod/ed/picture/qwepvxkz/4ac2aa44b6fe28f57c39cc4f6de81e8e0d5b6394.jpg
Venant,Kia,2017,Automatique,Cité Damel,11 700 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f556d26971b8c912d0d8f275c4fc2e3f/-/horizon-files-prod/ed/picture/qxjp0vdm/1bb925397e25e1bea3c20272433e71a19940ba9d.jpg
D'occasion,BMW,2017,Automatique,Mermoz,8 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/35d376a02dea23fad9f4d84ea399255b/-/horizon-files-prod/ed/picture/qrz8p8r9/f68b4d35410ed1fe5cae78b8425e435fd76cec1d.jpg
D'occasion,Peugeot,2005,Manuelle,Mermoz,2 800 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d2c94dad5c6e9fba06b56870ce2fd5cb/-/horizon-files-prod/ed/picture/q2j0e67d/3de42fcd67bb9154bad950002fff47760340bf25.jpg
Venant,Renault,2017,Automatique,Liberte 6,7 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d1d615de10d6677b0615d778e1dcc056/-/horizon-files-prod/ed/picture/qv4w7698/47dbcae1c702443a60f8ce4962074a1e11c21eea.jpg
